BoroCT2010,Zip_score,Price
1000600,10002,1057.889991
1001001,10002,1057.889991
1001402,10002,1057.889991
1002000,10002,1057.889991
1002202,10002,1057.889991
1003002,10002,1057.889991
1003400,10009,1176.492732
1004000,10003,1355.180902
1004300,10012,1487.315951
1004900,10013,1060.2041
1005502,10012,1487.315951
1005900,10012,1487.315951
1006400,10003,1355.180902
1006900,10282,2215.717808
1007400,10010,1617.668867
1007800,10016,1446.982296
1008300,10014,1385.159444
1008603,10017,1538.208598
1009100,10011,1325.006549
1009400,10016,1446.982296
1010200,10017,1538.208598
1010800,10022,1596.828515
1011100,10001,1369.219034
1011300,10018,1274.960404
1011700,10001,1369.219034
1012500,10036,1272.677189
1012900,10018,1274.960404
1013000,10065,1635.619427
1013100,10036,1272.677189
1013200,10021,1605.14264
1013300,10036,1272.677189
1013700,10019,1405.606637
1014200,10021,1605.14264
1014601,10028,1478.375884
1014700,10069,1852.956798
1015001,10075,1544.911004
1015601,10128,1328.827439
1015802,10128,1328.827439
1016002,10128,1328.827439
1016400,10128,1328.827439
1016900,10129,865.9477034
1017300,10024,1168.334182
1017700,10024,1168.334182
1018100,10024,1168.334182
1018500,10025,899.745717
1018900,10025,899.745717
1019400,10035,377.6359952
1019702,10026,439.9058399
1020101,10026,439.9058399
1020300,10025,899.745717
1021200,10037,425.1305386
1021600,10026,439.9058399
1022102,10030,381.4509195
1022800,10030,381.4509195
1023200,10030,381.4509195
1023502,10039,482.6427504
1023900,10031,332.2416418
1024301,10032,392.4157757
1024900,10032,392.4157757
1025700,10026,439.9058399
1026700,10033,442.4015417
1027700,10033,442.4015417
1028300,10040,450.3441078
1029300,10034,457.5196416
1029900,10040,450.3441078
1030300,10034,457.5196416
1030700,10034,457.5196416
1030900,10034,457.5196416
1031703,10280,1321.074489
1000100,10004,1501.689968
1000201,10002,1057.889991
1000202,10002,1057.889991
1000500,10004,1501.689968
1000700,10005,1818.564112
1000800,10038,1159.101147
1000900,10005,1818.564112
1001002,10002,1057.889991
1001200,10002,1057.889991
1001300,10280,1321.074489
1001401,10002,1057.889991
1001501,10005,1818.564112
1001502,10005,1818.564112
1001800,10002,1057.889991
1002100,10006,1393.739566
1002201,10002,1057.889991
1002400,10009,1176.492732
1002500,10038,1159.101147
1002601,10002,1057.889991
1002700,10038,1159.101147
1002800,10009,1176.492732
1002900,10038,1159.101147
1003001,10002,1057.889991
1003100,10007,1275.568407
1003200,10002,1057.889991
1003300,10007,1275.568407
1003601,10012,1487.315951
1003602,10012,1487.315951
1003700,10282,2215.717808
1003800,10012,1487.315951
1003900,10282,2215.717808
1004100,10013,1060.2041
1004200,10003,1355.180902
1004400,10009,1176.492732
1004500,10013,1060.2041
1004700,10013,1060.2041
1004800,10003,1355.180902
1005000,10003,1355.180902
1005200,10003,1355.180902
1005400,10011,1325.006549
1005501,10012,1487.315951
1005600,10003,1355.180902
1005700,10012,1487.315951
1005800,10011,1325.006549
1001600,10038,1159.101147
1006000,10009,1176.492732
1006100,10012,1487.315951
1006200,10009,1176.492732
1006300,10012,1487.315951
1006500,10012,1487.315951
1006600,10010,1617.668867
1006700,10014,1385.159444
1006800,10003,1355.180902
1007000,10010,1617.668867
1007100,10014,1385.159444
1007200,10010,1617.668867
1007300,10014,1385.159444
1007500,10014,1385.159444
1007600,10001,1369.219034
1007700,10014,1385.159444
1007900,10014,1385.159444
1008000,10016,1446.982296
1008100,10014,1385.159444
1008200,10016,1446.982296
1008400,10018,1274.960404
1008601,10016,1446.982296
1008602,10017,1538.208598
1008700,10011,1325.006549
1008800,10016,1446.982296
1008900,10011,1325.006549
1009000,10017,1538.208598
1009200,10016,1446.982296
1009300,10011,1325.006549
1009500,10011,1325.006549
1009600,10036,1272.677189
1009700,10011,1325.006549
1009800,10017,1538.208598
1009900,10014,1385.159444
1010100,10001,1369.219034
1010300,10001,1369.219034
1010400,10019,1405.606637
1010601,10022,1596.828515
1010602,10022,1596.828515
1010900,10001,1369.219034
1011000,10022,1596.828515
1011201,10019,1405.606637
1011202,10022,1596.828515
1011203,10022,1596.828515
1011401,10022,1596.828515
1011402,10022,1596.828515
1011500,10018,1274.960404
1011600,10065,1635.619427
1011800,10065,1635.619427
1011900,10018,1274.960404
1012000,10065,1635.619427
1012200,10022,1596.828515
1012400,10021,1605.14264
1012600,10065,1635.619427
1012700,10036,1272.677189
1012800,10065,1635.619427
1013400,10021,1605.14264
1013500,10036,1272.677189
1013600,10075,1544.911004
1013800,10075,1544.911004
1013900,10019,1405.606637
1014000,10021,1605.14264
1014300,10019,1405.606637
1014401,10028,1478.375884
1014402,10028,1478.375884
1014500,10019,1405.606637
1014602,10028,1478.375884
1014801,10028,1478.375884
1014802,10028,1478.375884
1014900,10019,1405.606637
1015002,10028,1478.375884
1015100,10069,1852.956798
1015200,10028,1478.375884
1015400,10028,1478.375884
1015500,10069,1852.956798
1015602,10128,1328.827439
1015700,10023,1400.186913
1015801,10128,1328.827439
1015900,10069,1852.956798
1016001,10028,1478.375884
1016100,10023,1400.186913
1016200,10128,1328.827439
1016300,10069,1852.956798
1016500,10129,865.9477034
1016600,10128,1328.827439
1016700,10023,1400.186913
1016800,10128,1328.827439
1017000,10029,566.7900359
1017100,10024,1168.334182
1017200,10029,566.7900359
1017401,10029,566.7900359
1017402,10029,566.7900359
1017500,10024,1168.334182
1017800,10029,566.7900359
1017900,10024,1168.334182
1018000,10029,566.7900359
1018300,10024,1168.334182
1018400,10029,566.7900359
1018600,10026,439.9058399
1018700,10025,899.745717
1018800,10029,566.7900359
1019000,10026,439.9058399
1019100,10025,899.745717
1019200,10035,377.6359952
1019300,10025,899.745717
1019500,10025,899.745717
1019600,10035,377.6359952
1019701,10025,899.745717
1019800,10026,439.9058399
1019900,10025,899.745717
1020000,10026,439.9058399
1020102,10026,439.9058399
1020500,10025,899.745717
1020600,10035,377.6359952
1020800,10026,439.9058399
1020901,10027,400.5543292
1021000,10037,425.1305386
1021100,10027,400.5543292
1021303,10027,400.5543292
1021400,10037,425.1305386
1021500,10027,400.5543292
1021703,10027,400.5543292
1021800,10026,439.9058399
1021900,10027,400.5543292
1022000,10026,439.9058399
1022200,10026,439.9058399
1022301,10027,400.5543292
1018200,10029,566.7900359
1022302,10027,400.5543292
1022500,10027,400.5543292
1022600,10027,400.5543292
1022700,10031,332.2416418
1022900,10031,332.2416418
1023000,10030,381.4509195
1023100,10031,332.2416418
1023300,10031,332.2416418
1023400,10030,381.4509195
1023501,10031,332.2416418
1023600,10030,381.4509195
1023700,10031,332.2416418
1023801,10022,1596.828515
1023802,10044,1342.699885
1024000,10029,566.7900359
1024100,10031,332.2416418
1024200,10035,377.6359952
1024302,10039,482.6427504
1024500,10032,392.4157757
1024700,10031,332.2416418
1025100,10032,392.4157757
1025300,10032,392.4157757
1025500,10032,392.4157757
1025900,10030,381.4509195
1026100,10032,392.4157757
1026300,10032,392.4157757
1026500,10032,392.4157757
