the_geom,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.97823073299483 40.72067428669264, -73.97827778084955 40.72060763432274, -73.97836466290298 40.72048455031823, -73.97846281767774 40.72034549517778, -73.97871889804124 40.719982706378154, -73.97875234984332 40.71993370610709, -73.97966021722523 40.720212829678665, -73.98130824240073 40.72070878563637, -73.98216615329966 40.72096885477443, -73.9830030870105 40.721222681078494, -73.98382387298197 40.72147287206694, -73.98377990965014 40.72153595478832, -73.98344363618817 40.72201850730481, -73.98296414352899 40.72267132479106, -73.98156203745653 40.72208019637512, -73.98121999900185 40.72193598800114, -73.9806065331811 40.721677339398774, -73.97823073299483 40.72067428669264)))",22.02,1,Manhattan,2202,1002202,I,MN28,Lower East Side,3809,3817.391631,603922.2756
"MULTIPOLYGON (((-73.97990650235911 40.72686577300238, -73.98033298234971 40.726280336280354, -73.98076713939163 40.72568559545432, -73.98121129606592 40.725072800225156, -73.98163663897637 40.724493481283375, -73.98208242445308 40.723882043676454, -73.98252449543862 40.72327797725201, -73.98296414352899 40.72267132479106, -73.98528584490765 40.72364910375111, -73.98574009034343 40.72383957897813, -73.98589898733408 40.72390620834289, -73.986046781395 40.72396817940268, -73.98612540337972 40.72400114743922, -73.98619937897061 40.72403216602686, -73.98629635780563 40.72407282964186, -73.98647465807007 40.72414759209661, -73.98660483161389 40.724202174784224, -73.98670315713663 40.72424340210716, -73.98683539614521 40.72429885088493, -73.98749104738877 40.72457376309821, -73.98704399177281 40.72519130165278, -73.98660321960449 40.72577807656411, -73.98616358068462 40.72639823191056, -73.985738419541 40.726974559837764, -73.98529382949248 40.727592838705604, -73.98485763044157 40.728176833927215, -73.98265717252913 40.727260489594215, -73.98222813901765 40.72784589943694, -73.97990650235911 40.72686577300238)))",32,1,Manhattan,3200,1003200,I,MN22,East Village,3809,6358.386684,2334190.232
"MULTIPOLYGON (((-73.98085965412415 40.74196976808196, -73.98131180452111 40.74135092410701, -73.98176150801345 40.74073311255949, -73.98221134521273 40.74011453513662, -73.98266497479032 40.73949733270416, -73.98314654850896 40.73883181289424, -73.98363145069911 40.73816524561586, -73.98408212938709 40.737545516247394, -73.98498119133012 40.73792628261202, -73.98567437913852 40.73821900870275, -73.9864250703724 40.73853473625968, -73.98685345269391 40.73871475166959, -73.98722820005955 40.73887097850736, -73.98730154868962 40.73890302603645, -73.98703592787133 40.73926637854947, -73.98684918554822 40.73952182183709, -73.98636141735395 40.740184800545904, -73.98587913195354 40.740853000433745, -73.9854276781103 40.741470348529504, -73.98497775500906 40.742088957648306, -73.98452636708514 40.742707042077775, -73.9840748526016 40.7433247184166, -73.98400852046808 40.74329901840268, -73.98245520796486 40.74264696008488, -73.98085965412415 40.74196976808196)))",68,1,Manhattan,6800,1006800,I,MN21,Gramercy,3808,5723.883037,1877943.253
"MULTIPOLYGON (((-73.99897237419269 40.74463005524841, -73.99942208980768 40.74400957252065, -73.9998482360153 40.74342501898618, -74.00027517957514 40.742838798278484, -74.0007027550474 40.7422536117507, -74.0035420192503 40.7434482790828, -74.00362442539273 40.74348299868166, -74.00394432810411 40.74361777577644, -74.00402286584013 40.743650863683605, -74.00432451321778 40.74377794788497, -74.0044073032274 40.74381282723032, -74.00638477174458 40.74464590289276, -74.00595977647549 40.745230984539354, -74.00553403975506 40.745815569229364, -74.00510713514207 40.74640277312826, -74.00465274349976 40.74702295303149, -74.00181130603194 40.74582635952347, -73.99897237419269 40.74463005524841)))",89,1,Manhattan,8900,1008900,I,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3807,5578.769499,1782278.507
"MULTIPOLYGON (((-73.97765482727577 40.75791142378001, -73.97811607150824 40.75728442760889, -73.97856525265809 40.75665484286855, -73.97902396753034 40.75603186796145, -73.97948313855017 40.75540496528282, -73.9799364717244 40.75478254336745, -73.98039560199618 40.75415480885295, -73.98088709894274 40.753480988738545, -73.98411754823202 40.75484205346463, -73.98362433252701 40.755516345835545, -73.98316796047551 40.75614022163471, -73.98271205278753 40.756771228727324, -73.98225528672138 40.75738736489551, -73.98179404271515 40.75802130314499, -73.98134107035918 40.758645298838566, -73.98088574583757 40.759270669535546, -73.9789117259159 40.7584365388348, -73.97765482727577 40.75791142378001)))",96,1,Manhattan,9600,1009600,E,MN17,Midtown-Midtown South,3807,5737.356247,1887288.401
"MULTIPOLYGON (((-73.96432543478765 40.75638153099094, -73.96478633130425 40.75575573144817, -73.96524094428389 40.755129928613826, -73.96569619900185 40.75450507047663, -73.9661568342161 40.75387785112291, -73.96653673268197 40.75335025612621, -73.96661581699016 40.753243425941825, -73.96897803741398 40.75425053544146, -73.9712170446509 40.75519332425511, -73.97075919418835 40.75582485124253, -73.97031393611455 40.75645301902952, -73.96984859921467 40.75707595800302, -73.96939411311268 40.75769952815846, -73.96893510322623 40.758330091631244, -73.9667018750882 40.757380803800096, -73.96432543478765 40.75638153099094)))",98,1,Manhattan,9800,1009800,I,MN19,Turtle Bay-East Midtown,3808,5534.199811,1906016.35
"MULTIPOLYGON (((-73.96802436915858 40.759578140052845, -73.96847979621337 40.75895012757534, -73.96893510322623 40.758330091631244, -73.96939411311268 40.75769952815846, -73.96984859921467 40.75707595800302, -73.97031393611455 40.75645301902952, -73.97075919418835 40.75582485124253, -73.9712170446509 40.75519332425511, -73.97281967445291 40.755870551502156, -73.97365314711992 40.7562235898403, -73.97432789790412 40.756509599602836, -73.97443866317415 40.7565563063461, -73.97398183196354 40.757179758085854, -73.97352419611924 40.757808440279014, -73.97306851954805 40.7584314941964, -73.97261271418452 40.75905930848455, -73.97215595488039 40.759681240357274, -73.97169609214878 40.760312661449824, -73.97124277307132 40.7609364184791, -73.97113517599536 40.76089085251674, -73.96962500126698 40.76025144003973, -73.96802436915858 40.759578140052845)))",100,1,Manhattan,10000,1010000,I,MN19,Turtle Bay-East Midtown,3808,5692.168488,1860938.378
"MULTIPOLYGON (((-73.97124277307132 40.7609364184791, -73.97169609214878 40.760312661449824, -73.97215595488039 40.759681240357274, -73.97261271418452 40.75905930848455, -73.97306851954805 40.7584314941964, -73.97352419611924 40.757808440279014, -73.97398183196354 40.757179758085854, -73.97443866317415 40.7565563063461, -73.97453865496833 40.75659708571149, -73.97604542066276 40.75723205763813, -73.97765482727577 40.75791142378001, -73.97720026523602 40.75853793354628, -73.97674467602134 40.759164737776715, -73.97628870099071 40.759786749165414, -73.97583011985381 40.76041852021438, -73.97537360664674 40.7610399070742, -73.97491476221632 40.761667270056705, -73.97445730616329 40.762293083525066, -73.9728525050328 40.76161435725251, -73.97133777276221 40.760977298189616, -73.97124277307132 40.7609364184791)))",102,1,Manhattan,10200,1010200,I,MN17,Midtown-Midtown South,3807,5687.802579,1860992.536
"MULTIPOLYGON (((-73.97445730616329 40.762293083525066, -73.97491476221632 40.761667270056705, -73.97537360664674 40.7610399070742, -73.97583011985381 40.76041852021438, -73.97628870099071 40.759786749165414, -73.97674467602134 40.759164737776715, -73.97720026523602 40.75853793354628, -73.97765482727577 40.75791142378001, -73.9789117259159 40.7584365388348, -73.98088574583757 40.759270669535546, -73.98042606433063 40.759899081079304, -73.97997188189687 40.76052470137801, -73.97951319160586 40.76114856185013, -73.97905731164813 40.761770719726535, -73.9786016944703 40.76239607235229, -73.97813931679617 40.763024014466744, -73.97768600593272 40.76364440302322, -73.97445730616329 40.762293083525066)))",104,1,Manhattan,10400,1010400,I,MN17,Midtown-Midtown South,3807,5693.036118,1864600.351
"MULTIPOLYGON (((-73.97301487242227 40.76427887944538, -73.97346523459842 40.76365910435897, -73.9739679889575 40.76296658771357, -73.97445730616329 40.762293083525066, -73.97768600593272 40.76364440302322, -73.9771968868407 40.76432369242252, -73.97670323582166 40.76499545049085, -73.97623388796958 40.76567463144458, -73.97419229021419 40.764806528331896, -73.9736358469905 40.76456991377593, -73.97301487242227 40.76427887944538)))",112.01,1,Manhattan,11201,1011201,I,MN17,Midtown-Midtown South,3807,3716.146785,856164.3561
