id,restaurants,shopping,food,health,art,beautysvc,education,active,nightlife
1000600,55,139,103,39,58,0,47,19,6
1001001,16,119,49,39,50,0,44,19,2
1001402,64,149,134,39,65,0,46,19,22
1002000,18,120,52,39,51,0,44,19,2
1002202,38,129,84,39,63,0,47,19,13
1003002,107,166,166,39,76,0,50,37,53
1003400,167,195,248,79,76,0,47,37,54
1004000,268,262,392,99,116,0,56,39,75
1004300,140,475,235,79,147,0,61,59,43
1004900,163,633,264,139,191,0,64,79,45
1005502,87,236,144,59,96,0,51,56,34
1005900,78,194,152,119,96,0,62,52,12
1006400,89,165,168,119,68,0,56,36,23
1006900,39,128,81,39,60,0,46,35,9
1007400,251,276,363,279,123,0,88,69,78
1007800,103,151,163,199,62,0,48,35,19
1008300,145,225,243,79,95,0,57,39,62
1008603,36,132,76,59,57,0,46,29,4
1009100,158,298,246,159,131,0,73,99,39
1009400,223,530,338,279,122,0,57,47,22
1010200,170,294,252,259,101,0,51,39,23
1010800,151,228,229,159,86,0,51,68,33
1011100,170,271,259,79,147,0,98,77,34
1011300,245,402,346,99,204,0,76,78,53
1011700,42,129,90,39,69,0,45,30,13
1012500,237,314,330,76,231,0,61,46,64
1012900,126,164,197,59,101,0,55,49,44
1013000,45,221,83,159,90,0,49,37,7
1013100,227,215,325,99,146,0,69,50,67
1013200,68,156,132,76,66,0,54,32,11
1013300,200,173,266,79,107,0,57,32,52
1013700,159,257,179,379,122,0,72,79,60
1014200,51,212,93,178,90,0,55,39,8
1014601,83,167,136,79,72,0,57,39,18
1014700,18,125,56,39,60,0,50,19,2
1015001,23,160,62,99,61,0,50,29,2
1015601,28,135,82,58,56,0,51,19,5
1015802,28,135,69,39,55,0,45,19,5
1016002,32,137,75,78,54,0,46,19,5
1016400,41,140,87,39,56,0,48,19,2
1016900,82,193,140,79,76,0,57,39,17
1017300,59,158,112,79,75,0,61,19,6
1017700,44,149,100,59,61,0,56,33,2
1018100,38,148,93,59,61,0,54,19,5
1018500,25,140,78,59,58,0,50,19,2
1018900,72,150,136,59,66,0,54,39,6
1019400,30,136,75,39,55,0,48,19,3
1019702,25,132,65,39,54,0,45,19,4
1020101,16,129,52,39,55,0,48,19,4
1020300,48,137,98,39,60,0,56,19,5
1021200,33,138,79,39,56,0,46,19,4
1021600,41,137,87,39,55,0,47,19,5
1022102,29,133,67,39,57,0,46,19,2
1022800,46,139,93,39,57,0,46,19,7
1023200,39,134,92,39,53,0,47,19,4
1023502,22,126,65,38,53,0,44,19,2
1023900,20,129,57,38,54,0,45,19,3
1024301,23,130,62,39,55,0,45,19,4
1024900,20,125,57,39,53,0,45,19,2
1025700,37,152,84,39,63,0,50,19,13
1026700,18,123,53,38,52,0,47,19,2
1027700,26,127,71,39,52,0,44,19,2
1028300,30,134,74,19,53,0,44,19,8
1029300,59,138,109,39,55,0,47,19,15
1029900,99,170,165,59,74,0,62,19,31
1030300,46,157,97,39,66,0,57,19,8
1030700,18,125,58,19,54,0,44,18,4
1030900,22,137,65,39,52,0,44,19,3
1031703,61,144,114,39,60,0,51,39,7
1000100,16,118,51,38,52,0,43,19,2
1000201,20,127,67,39,59,0,46,19,4
1000202,22,122,58,39,51,0,46,19,4
1000500,38,132,82,39,61,0,46,32,7
1000700,324,239,477,139,100,0,70,59,56
1000800,84,149,149,39,55,0,49,19,3
1000900,234,194,358,99,88,0,67,59,33
1001002,16,119,50,39,50,0,46,19,2
1001200,24,122,65,39,55,0,45,19,5
